VM5248:1 coord_Warszawa, Województwo mazowieckie, Poland {"lat":52.2333742,"lng":21.0711489,"city":"Warszawa","state":"Województwo mazowieckie","country":"Poland"}
VM5248:1 coord_Estepona, Andalucía, Spain {"lat":36.4268068,"lng":-5.1468484,"city":"Estepona","state":"Andalucía","country":"Spain"}
VM5248:1 coord_Trout Run, PA, USA {"lat":41.3702916,"lng":-78.4275798,"city":"Trout Run","state":"PA","country":"USA"}
VM5248:1 coord_Warwick, RI, USA {"lat":41.6992717,"lng":-71.4586114,"city":"Warwick","state":"RI","country":"USA"}
VM5248:1 coord_Elyria, OH, USA {"lat":41.3673191,"lng":-82.1073583,"city":"Elyria","state":"OH","country":"USA"}
VM5248:1 coord_Roswell, NM, USA {"lat":33.3943282,"lng":-104.5229518,"city":"Roswell","state":"NM","country":"USA"}
VM5248:1 coord_Ocala, FL, USA {"lat":29.1871986,"lng":-82.1400923,"city":"Ocala","state":"FL","country":"USA"}
VM5248:1 coord_Rochester, NY, USA {"lat":43.157285,"lng":-77.615214,"city":"Rochester","state":"NY","country":"USA"}
VM5248:1 coord_Berwick, PA, USA {"lat":41.0602024,"lng":-76.2461259,"city":"Berwick","state":"PA","country":"USA"}
VM5248:1 coord_Portland, OR, USA {"lat":45.5202471,"lng":-122.674194,"city":"Portland","state":"OR","country":"USA"}
VM5248:1 coord_Cypress Gardens, FL, USA {"lat":27.9920627,"lng":-81.6919685,"city":"Cypress Gardens","state":"FL","country":"USA"}
VM5248:1 coord_New Fairfield, CT, USA {"lat":41.4664832,"lng":-73.4856789,"city":"New Fairfield","state":"CT","country":"USA"}
VM5248:1 coord_Ashoknagar Kalyangarh, West Bengal, India {"lat":22.8387354,"lng":88.6245961,"city":"Ashoknagar Kalyangarh","state":"West Bengal","country":"India"}
VM5248:1 coord_Colares, Lisbon, Portugal {"lat":38.7991515,"lng":-9.4469662,"city":"Colares","state":"Lisbon","country":"Portugal"}
VM5248:1 coord_Asyut, Egypt {"lat":27.1832822,"lng":31.1853836,"state":"Asyut","country":"Egypt"}
VM5248:1 coord_Cripple Creek, CO, USA {"lat":38.7466555,"lng":-105.1783149,"city":"Cripple Creek","state":"CO","country":"USA"}
VM5248:1 coord_La Fortuna, Alajuela Province, Costa Rica {"lat":10.4716839,"lng":-84.644436,"city":"La Fortuna","state":"Alajuela Province","country":"Costa Rica"}
VM5248:1 coord_Kings Park, NY, USA {"lat":40.8890985,"lng":-73.246843,"city":"Kings Park","state":"NY","country":"USA"}
VM5248:1 coord_Detroit, MI, USA {"lat":42.3315509,"lng":-83.0466403,"city":"Detroit","state":"MI","country":"USA"}
VM5248:1 coord_Avalon, NJ, USA {"lat":39.101225,"lng":-74.7176622,"city":"Avalon","state":"NJ","country":"USA"}
VM5248:1 coord_Shelby Township, MI, USA {"lat":43.5974492,"lng":-86.3379509,"city":"Shelby Township","state":"MI","country":"USA"}
VM5248:1 coord_Litchfield County, Connecticut {"lat":41.7587013,"lng":-73.259781,"state":"Connecticut","county":"Litchfield County"}
VM5248:1 coord_Fairmont, WV, USA {"lat":39.4850848,"lng":-80.1425781,"city":"Fairmont","state":"WV","country":"USA"}
VM5248:1 coord_Dresden, TN, USA {"lat":36.2914512,"lng":-88.7081123,"city":"Dresden","state":"TN","country":"USA"}
VM5248:1 coord_St. Petersburg, FL, USA {"lat":27.7700475,"lng":-82.6359078,"city":"St. Petersburg","state":"FL","country":"USA"}
VM5248:1 coord_Tremont, IL, USA {"lat":40.5275392,"lng":-89.4925979,"city":"Tremont","state":"IL","country":"USA"}
VM5248:1 coord_Pine Bluff, AR, USA {"lat":34.2228884,"lng":-92.004334,"city":"Pine Bluff","state":"AR","country":"USA"}
VM5248:1 coord_St. George, SC, USA {"lat":33.1859958,"lng":-80.5756534,"city":"St. George","state":"SC","country":"USA"}
VM5248:1 coord_Sayville, NY, USA {"lat":40.745349,"lng":-73.0885161,"city":"Sayville","state":"NY","country":"USA"}
VM5248:1 coord_Modesto, CA, USA {"lat":37.6393419,"lng":-120.9968892,"city":"Modesto","state":"CA","country":"USA"}
VM5248:1 coord_Affton, MO, USA {"lat":38.545831,"lng":-90.3247272,"city":"Affton","state":"MO","country":"USA"}
VM5248:1 coord_Latrobe, PA, USA {"lat":40.317287,"lng":-79.3840301,"city":"Latrobe","state":"PA","country":"USA"}
VM5248:1 coord_Greenville, SC, USA {"lat":34.851354,"lng":-82.3984882,"city":"Greenville","state":"SC","country":"USA"}
VM5248:1 coord_Williston, FL, USA {"lat":29.3880028,"lng":-82.4481694,"city":"Williston","state":"FL","country":"USA"}
VM5248:1 coord_Canton, GA, USA {"lat":34.2367621,"lng":-84.4907621,"city":"Canton","state":"GA","country":"USA"}
VM5248:1 coord_Glasgow, Scotland, United Kingdom {"lat":55.861155,"lng":-4.2501687,"city":"Glasgow","state":"Scotland","country":"United Kingdom"}
VM5248:1 coord_Buffalo, WY, USA {"lat":44.3480865,"lng":-106.699287,"city":"Buffalo","state":"WY","country":"USA"}
VM5248:1 coord_Belvidere, IL, USA {"lat":42.2579991,"lng":-88.841734,"city":"Belvidere","state":"IL","country":"USA"}
VM5248:1 coord_Huntingdon, PA, USA {"lat":40.3446332,"lng":-78.0281185,"city":"Huntingdon","state":"PA","country":"USA"}
VM5248:1 coord_Tumwater, WA, USA {"lat":47.0080655,"lng":-122.910368,"city":"Tumwater","state":"WA","country":"USA"}
VM5248:1 coord_Covington, GA, USA {"lat":33.5966005,"lng":-83.8598742,"city":"Covington","state":"GA","country":"USA"}
VM5248:1 coord_Stroudsburg, PA, USA {"lat":40.9864261,"lng":-75.1946649,"city":"Stroudsburg","state":"PA","country":"USA"}
VM5248:1 coord_Anolaima, Cundinamarca, Colombia {"lat":4.7616096,"lng":-74.4649986,"city":"Anolaima","state":"Cundinamarca","country":"Colombia"}
VM5248:1 coord_Nový Šaldorf-Sedlešovice, South Moravian Region, Czechia {"lat":48.8290199,"lng":16.0619757,"city":"Nový Šaldorf-Sedlešovice","state":"South Moravian Region","country":"Czechia"}
VM5248:1 coord_Vilas, NC, USA {"lat":36.245683,"lng":-81.7676104,"city":"Vilas","state":"NC","country":"USA"}
VM5248:1 coord_Epping, NH, USA {"lat":43.0394461,"lng":-71.0730253,"city":"Epping","state":"NH","country":"USA"}
VM5248:1 coord_Concrete, WA, USA {"lat":48.5389326,"lng":-121.746928,"city":"Concrete","state":"WA","country":"USA"}
VM5248:1 coord_Khumaga, Kgaolo ya Legare, Botswana {"lat":-20.4710507,"lng":24.5104545,"city":"Khumaga","state":"Kgaolo ya Legare","country":"Botswana"}
VM5248:1 coord_Washington, DC, USA {"lat":38.8950368,"lng":-77.0365427,"city":"Washington","state":"DC","country":"USA"}
VM5248:1 coord_Gosport, England, United Kingdom {"lat":50.7952074,"lng":-1.1210853,"city":"Gosport","state":"England","country":"United Kingdom"}
VM5248:1 coord_Marcola, OR, USA {"lat":44.1722212,"lng":-122.8606374,"city":"Marcola","state":"OR","country":"USA"}
VM5248:1 coord_Fort Mill, SC, USA {"lat":35.0073697,"lng":-80.9450759,"city":"Fort Mill","state":"SC","country":"USA"}
VM5248:1 coord_Glendale, AZ, USA {"lat":33.5386858,"lng":-112.185994,"city":"Glendale","state":"AZ","country":"USA"}
VM5248:1 coord_Haverhill, MA, USA {"lat":42.7777829,"lng":-71.0767724,"city":"Haverhill","state":"MA","country":"USA"}
VM5248:1 coord_Unspecified {"lat":27.1556836,"lng":65.6101216,"country":"Unspecified"}
VM5248:1 coord_Sankt-Peterburg, Sankt-Peterburg, Russia {"lat":59.938732,"lng":30.316229,"city":"Sankt-Peterburg","state":"Sankt-Peterburg","country":"Russia"}
VM5248:1 coord_Elgin, IA, USA {"lat":42.9574845,"lng":-91.6297632,"city":"Elgin","state":"IA","country":"USA"}
VM5248:1 coord_Jiaxing, Zhejiang, China {"lat":30.7474425,"lng":120.7510971,"city":"Jiaxing","state":"Zhejiang","country":"China"}
VM5248:1 coord_Marietta, GA, USA {"lat":33.9528472,"lng":-84.5496148,"city":"Marietta","state":"GA","country":"USA"}
VM5248:1 coord_Stephenville, NL, Canada {"lat":48.5452022,"lng":-58.5871146,"city":"Stephenville","state":"NL","country":"Canada"}
VM5248:1 coord_El Paso, TX, USA {"lat":31.7601164,"lng":-106.4870404,"city":"El Paso","state":"TX","country":"USA"}
VM5248:1 coord_Röthis, Vorarlberg, Austria {"lat":47.2922308,"lng":9.6534863,"city":"Röthis","state":"Vorarlberg","country":"Austria"}
VM5248:1 coord_Aspley, Queensland, Australia {"lat":-27.3656925,"lng":153.0169605,"city":"Aspley","state":"Queensland","country":"Australia"}
VM5248:1 coord_San Jose, CA, USA {"lat":37.3361663,"lng":-121.890591,"city":"San Jose","state":"CA","country":"USA"}
VM5248:1 coord_Lethbridge, AB, Canada {"lat":49.6945782,"lng":-112.8331033,"city":"Lethbridge","state":"AB","country":"Canada"}
VM5248:1 coord_Wright City, MO, USA {"lat":38.8275491,"lng":-91.0201422,"city":"Wright City","state":"MO","country":"USA"}
VM5248:1 coord_Netherlands {"lat":52.2434979,"lng":5.6343227,"country":"Netherlands"}
VM5248:1 coord_New York, NY, USA {"lat":40.7127281,"lng":-74.0060152,"city":"New York","state":"NY","country":"USA"}
VM5248:1 coord_Scottsbluff, NE, USA {"lat":41.862302,"lng":-103.6627088,"city":"Scottsbluff","state":"NE","country":"USA"}
VM5248:1 coord_Burnt Hills, NY, USA {"lat":42.9097982,"lng":-73.8951234,"city":"Burnt Hills","state":"NY","country":"USA"}
VM5248:1 coord_Avilla, MO, USA {"lat":37.1955756,"lng":-94.1297212,"city":"Avilla","state":"MO","country":"USA"}
VM5248:1 coord_Chennai, Tamil Nadu, India {"lat":13.0836939,"lng":80.270186,"city":"Chennai","state":"Tamil Nadu","country":"India"}
VM5248:1 coord_Macon County, North Carolina {"lat":35.1436639,"lng":-83.3977297,"state":"North Carolina","county":"Macon County"}
VM5248:1 coord_Melbourne, AR, USA {"lat":36.0595148,"lng":-91.9084819,"city":"Melbourne","state":"AR","country":"USA"}
VM5248:1 coord_Grass Valley, CA, USA {"lat":39.2190607,"lng":-121.06292,"city":"Grass Valley","state":"CA","country":"USA"}
VM5248:1 coord_Fountain Hills, AZ, USA {"lat":33.6117105,"lng":-111.717361,"city":"Fountain Hills","state":"AZ","country":"USA"}
VM5248:1 coord_Saucier, MS, USA {"lat":30.625503,"lng":-89.1446298,"city":"Saucier","state":"MS","country":"USA"}
VM5248:1 coord_Aldea del Fresno, Community of Madrid, Spain {"lat":40.3215212,"lng":-4.19936,"city":"Aldea del Fresno","state":"Community of Madrid","country":"Spain"}
VM5248:1 coord_Capalaba, Queensland, Australia {"lat":-27.522037,"lng":153.1918063,"city":"Capalaba","state":"Queensland","country":"Australia"}
VM5248:1 coord_San Diego, CA, USA {"lat":32.7174202,"lng":-117.162772,"city":"San Diego","state":"CA","country":"USA"}
VM5248:1 coord_Sunshine Coast, Queensland, Australia {"lat":-26.6544338,"lng":153.0933668,"city":"Sunshine Coast","state":"Queensland","country":"Australia"}
VM5248:1 coord_California, KY, USA {"lat":38.9186766,"lng":-84.2635472,"city":"California","state":"KY","country":"USA"}
VM5248:1 coord_Albany, GA, USA {"lat":31.5782062,"lng":-84.1556809,"city":"Albany","state":"GA","country":"USA"}
VM5248:1 coord_Sitka, AK, USA {"lat":57.4086082,"lng":-135.4596206,"city":"Sitka","state":"AK","country":"USA"}
VM5248:1 coord_Taunton, MA, USA {"lat":41.9019257,"lng":-71.0931485,"city":"Taunton","state":"MA","country":"USA"}
VM5248:1 -walletlink:https://www.walletlink.org:EIP6963ProviderUUID af813f21-30c3-4a17-95be-6cbb62697c2d
VM5248:1 coord_Torquay, England, United Kingdom {"lat":50.4652392,"lng":-3.5211361,"city":"Torquay","state":"England","country":"United Kingdom"}
VM5248:1 coord_Lexington, OH, USA {"lat":40.6787196,"lng":-82.5827749,"city":"Lexington","state":"OH","country":"USA"}
VM5248:1 coord_Philadelphia, PA, USA {"lat":39.9527237,"lng":-75.1635262,"city":"Philadelphia","state":"PA","country":"USA"}
VM5248:1 coord_Oviedo, FL, USA {"lat":28.6702526,"lng":-81.2084941,"city":"Oviedo","state":"FL","country":"USA"}
VM5248:1 coord_Thornton, CO, USA {"lat":39.8695516,"lng":-104.985181,"city":"Thornton","state":"CO","country":"USA"}
VM5248:1 coord_Wall Township, NJ, USA {"lat":40.1743052,"lng":-74.0902219,"city":"Wall Township","state":"NJ","country":"USA"}
VM5248:1 coord_Burnsville, MN, USA {"lat":44.7670567,"lng":-93.2773887,"city":"Burnsville","state":"MN","country":"USA"}
VM5248:1 coord_Springdale, AR, USA {"lat":36.1867442,"lng":-94.1288142,"city":"Springdale","state":"AR","country":"USA"}
VM5248:1 coord_Monument, CO, USA {"lat":39.0916586,"lng":-104.872758,"city":"Monument","state":"CO","country":"USA"}
VM5248:1 coord_Boise, ID, USA {"lat":43.6166163,"lng":-116.200886,"city":"Boise","state":"ID","country":"USA"}
VM5248:1 coord_Aberdeen, SD, USA {"lat":45.4649805,"lng":-98.487813,"city":"Aberdeen","state":"SD","country":"USA"}
VM5248:1 coord_Ashford, WA, USA {"lat":46.7544085,"lng":-122.010932,"city":"Ashford","state":"WA","country":"USA"}
VM5248:1 coord_McGaheysville, VA, USA {"lat":38.372451,"lng":-78.7352814,"city":"McGaheysville","state":"VA","country":"USA"}
VM5248:1 coord_Niagara Falls, NY, USA {"lat":43.08436,"lng":-79.0614686,"city":"Niagara Falls","state":"NY","country":"USA"}
VM5248:1 coord_Chiloquin, OR, USA {"lat":42.577636,"lng":-121.866126,"city":"Chiloquin","state":"OR","country":"USA"}
VM5248:1 coord_Las Vegas, NV, USA {"lat":36.1674263,"lng":-115.1484131,"city":"Las Vegas","state":"NV","country":"USA"}
